x1,y1,x2,y2,len
296,414,0,0,508.9322155
281,419,281,419,0
267,427,267,427,0
252,438,252,438,0
244,455,244,455,0
240,472,240,472,0
237,489,237,489,0
244,505,244,505,0
250,519,250,519,0
261,529,261,529,0
272,536,272,536,0
280,540,280,540,0
301,544,301,544,0
1052,606,1052,606,0
1076,607,1076,607,0
1096,603,1096,603,0
1119,594,1119,594,0
1137,581,1137,581,0
1156,564,1156,564,0
1170,546,1170,546,0
1180,527,1180,527,0
1185,507,1185,507,0
1189,483,1189,483,0
1187,459,1187,459,0
1183,444,1183,444,0
1177,433,1177,433,0
1173,422,1173,422,0
1167,409,1167,409,0
1158,399,1158,399,0
1144,384,1144,384,0
1132,375,1132,375,0
1118,367,1118,367,0
1104,361,1104,361,0
1088,356,1088,356,0
1071,353,1071,353,0
1051,355,1051,355,0
294,414,294,414,0
